Numéro d'AMM,Nom du produit,Firme,Substance active,Unité
2090130,VINTAGE C DISPERSS,UPL France SAS,benthiavalicarbe isopropyl (Benthiavalicarb) 17.5 g/kg | sulfate de cuivre tribasique (Copper compounds) 375 g/kg,kg/ha
8300063,ACTIOL,PHYTEUROP,soufre (Sulphur) 800 g/L,L/ha
2000380,FOLY R,ARYSTA LIFESCIENCE SAS,clÃ©thodime (Clethodim) 120 g/L,L/ha
2160064,NEGEV,ADAMA FRANCE SAS,fludioxonil (Fludioxonil) 50 g/L | tÃ©buconazole (Tebuconazole) 10 g/L,L/q
2160398,ELYPSE 50 WG,SYNGENTA FRANCE SAS,Mesotrione (Mesotrione) 500 g/kg,kg/ha
2090163,BARCLAY GALLUP XTRA 450,BARCLAY CHEMICALS R&D LTD,glyphosate sel de dimÃ©thylamine (Glyphosate) 607.3 g/L,L/ha
8800494,FOR LIQUIDE,SULPHUR MILLS LIMITED,soufre (Sulphur) 800 g/L,L/ha
2150789,NEU 1186 M,NEUDORFF GMBH KG,phosphate ferrique (Ferric phosphate) 19.8 g/kg,g/mÂ²
2090161,VINCARE,CERTIS EUROPE BV,benthiavalicarbe (Benthiavalicarb) 17.5 g/kg | folpel (Folpet) 500 g/kg,kg/ha
2080024,VINTAGE M DISPERSS,CEREXAGRI S.A.S.,benthiavalicarbe (Benthiavalicarb) 17.5 g/kg | mancozÃ¨be (Mancozeb) 700 g/kg,kg/ha
9600273,VIP,SYNGENTA FRANCE SAS,clodinafop-propargyl (Clodinafop-propargyl) 80 g/L | cloquintocet-mexyl (Cloquintocet-mexyl) 20 g/L,L/ha
9100482,VISCLOR 500 L,OXON ITALIA,chlorothalonil (Chlorothalonil) 500 g/L,L/ha
2110201,VIVERDA,BASF FRANCE SAS,boscalide (Boscalid) 140 g/L | Ã©poxiconazole (Epoxiconazole) 50 g/L | pyraclostrobine (Pyraclostrobin) 60 g/L,L/ha
2110142,VIVENDI 100 SL,AGRICHEM BV,clopyralid (Clopyralid) 100 g/L,L/ha
9600112,VORAX,BASF FRANCE SAS,alpha-cypermÃ©thrine (Alpha-Cypermethrin) 100 g/L,L/ha
2120214,VOLIAM FLEXI,SYNGENTA FRANCE SAS,Chlorantraniliprole (Chlorantraniliprole) 200 g/kg | Thiamethoxam (Thiamethoxam) 200 g/kg,kg/ha
2090075,VYDATE 10G,DUPONT SOLUTIONS (FRANCE) S.A.S.,oxamyl (Oxamyl) 100 g/kg,
2110170,ADEXAR,BASF FRANCE SAS DIVISION AGRO ,Ã©poxiconazole (Epoxiconazole) 62.5 g/L | fluxapyroxad (Fluxapyroxad) 62.5 g/L,L/ha
2150232,LIFE SCIENTIFIC DIFENOCONAZOLE,LIFE SCIENTIFIC LTD,difÃ©noconazole (Difenoconazole) 250 g/L,L/ha
2000092,ADDAX DG,INDOFIL INDUSTRIES (Netherlands) B.V.,mancozÃ¨be (Mancozeb) 75 %,kg/ha
9900135,ADDAX,INDOFIL INDUSTRIES (Netherlands) B.V.,mancozÃ¨be (Mancozeb) 80 %,kg/ha
9600103,ACROBAT M DG,BASF FRANCE SAS,dimÃ©thomorphe (Dimethomorph) 90 g/kg | mancozÃ¨be (Mancozeb) 600 g/kg,kg/ha
2090091,ACTARA,SYNGENTA FRANCE SAS,Thiamethoxam (Thiamethoxam) 250 g/kg,kg/hL
2110073,EXPLICIT EC,DUPONT SOLUTIONS (FRANCE) S.A.S.,indoxacarbe (Indoxacarb) 150 g/L,L/ha
2030071,WARIOR EXTRA,KOLLANT SPA,metaldÃ©hyde (Metaldehyde) 5 %,
2030073,WARIOR QDX,KOLLANT SPA,metaldÃ©hyde (Metaldehyde) 5 %,
9300557,WALABI,BASF FRANCE SAS,chlorothalonil (Chlorothalonil) 375 g/L | pyrimÃ©thanil (Pyrimethanil) 150 g/L,L/ha
9600320,HIVERSAIN,COMPTOIR COMMERCIAL  DES LUBRIFIANTS,huile de paraffine (Paraffin oils) 817 g/L,L/hL
2100112,BAÃA E,SOCIETE  FINANCIERE DE PONTARLIER,ethephon (Ethephon) 480 g/L,L/ha
2090160,BARCLAY GALLUP SUPER 360,BARCLAY CHEMICALS R&D LTD,glyphosate sel d'isopropylamine (Glyphosate) 485.8 g/L,L/ha
8800011,VITAVAX EXTRA,ARYSTA LIFESCIENCE GREAT BRITAIN LTD,thirame (Thiram) 17.5 % | carboxine (Carboxin) 17.5 %,L/q
9100557,FORUM,BASF FRANCE SAS,dimÃ©thomorphe (Dimethomorph) 150 g/L,L/ha
9000753,EXTRALUGEC SR,PHYTEUROP,metaldÃ©hyde (Metaldehyde) 5 %,
2160324,CLERAVO,BASF AGRO SAS,imazamox (Imazamox) 35 g/L | quinmÃ©rac (Quinmerac) 250 g/L,L/ha
2110109,ADENGO,BAYER SAS,isoxaflutole (Isoxaflutole) 50 g/L | thiencarbazone (Thiencarbazone) 20 g/L,L/ha
2000338,ADERIO,GOWAN FRANCE,mancozÃ¨be (Mancozeb) 66.7 % | zoxamide (Zoxamide) 8.33 %,kg/ha
2150003,AZETHYL PHYTO,AIR LIQUIDE FRANCE INDUSTRIE,ethylÃ¨ne (Ethylene) 3.905 %,
9800481,BADIGEON NATUREL A L'ANCIENNE,BALTHAZARD ET COTTE,Fleur de chaux (chaux eteinte) (Fleur de chaux (chaux eteinte)) 650 g/L,
9300111,BADINEB BIO JARDIN,SBM DEVELOPPEMENT,pyrÃ©thrines (Pyrethrins) 20 g/L,L/hL
8800488,BANKO 500,ARYSTA LIFESCIENCE SAS,chlorothalonil (Chlorothalonil) 500 g/L,L/ha
9600486,BANKO CHAMPIGNON,ARYSTA LIFESCIENCE SAS,chlorothalonil (Chlorothalonil) 500 g/L,L/mÂ²
2140054,BIOFRESH SAFESTORE,FRESHPALLET LTD,ethylÃ¨ne (Ethylene) 100 %,L/m3
9300189,EVADE,DOW AGROSCIENCES SAS,fluroxypyr ester 1-mÃ©thylheptyl (Fluroxypyr) 20 g/L | triclopyr sel de triÃ©thylamine (Triclopyr) 60 g/L,L/ha
